price_date,ticker,last_price
28/07/2017,VIX Index,10.29
27/07/2017,VIX Index,10.11
26/07/2017,VIX Index,9.6
25/07/2017,VIX Index,9.43
24/07/2017,VIX Index,9.43
21/07/2017,VIX Index,9.36
20/07/2017,VIX Index,9.58
19/07/2017,VIX Index,9.79
18/07/2017,VIX Index,9.89
17/07/2017,VIX Index,9.82
14/07/2017,VIX Index,9.51
13/07/2017,VIX Index,9.9
12/07/2017,VIX Index,10.3
11/07/2017,VIX Index,10.89
10/07/2017,VIX Index,11.11
07/07/2017,VIX Index,11.19
06/07/2017,VIX Index,12.54
05/07/2017,VIX Index,11.07
04/07/2017,VIX Index,11.145
03/07/2017,VIX Index,11.22
30/06/2017,VIX Index,11.18
29/06/2017,VIX Index,11.44
28/06/2017,VIX Index,10.03
27/06/2017,VIX Index,11.06
26/06/2017,VIX Index,9.9
23/06/2017,VIX Index,10.02
22/06/2017,VIX Index,10.48
21/06/2017,VIX Index,10.75
20/06/2017,VIX Index,10.86
19/06/2017,VIX Index,10.37
16/06/2017,VIX Index,10.38
15/06/2017,VIX Index,10.9
14/06/2017,VIX Index,10.64
13/06/2017,VIX Index,10.42
12/06/2017,VIX Index,11.46
09/06/2017,VIX Index,10.7
08/06/2017,VIX Index,10.16
07/06/2017,VIX Index,10.39
06/06/2017,VIX Index,10.45
05/06/2017,VIX Index,10.07
02/06/2017,VIX Index,9.75
01/06/2017,VIX Index,9.89
31/05/2017,VIX Index,10.41
30/05/2017,VIX Index,10.38
29/05/2017,VIX Index,10.095
26/05/2017,VIX Index,9.81
25/05/2017,VIX Index,9.99
24/05/2017,VIX Index,10.02
23/05/2017,VIX Index,10.72
22/05/2017,VIX Index,10.93
19/05/2017,VIX Index,12.04
18/05/2017,VIX Index,14.66
17/05/2017,VIX Index,15.59
16/05/2017,VIX Index,10.65
15/05/2017,VIX Index,10.42
12/05/2017,VIX Index,10.4
11/05/2017,VIX Index,10.6
10/05/2017,VIX Index,10.21
09/05/2017,VIX Index,9.96
08/05/2017,VIX Index,9.77
05/05/2017,VIX Index,10.57
04/05/2017,VIX Index,10.46
03/05/2017,VIX Index,10.68
02/05/2017,VIX Index,10.59
01/05/2017,VIX Index,10.11
28/04/2017,VIX Index,10.82
27/04/2017,VIX Index,10.36
26/04/2017,VIX Index,10.85
25/04/2017,VIX Index,10.76
24/04/2017,VIX Index,10.84
21/04/2017,VIX Index,14.63
20/04/2017,VIX Index,14.15
19/04/2017,VIX Index,14.93
18/04/2017,VIX Index,14.42
17/04/2017,VIX Index,14.66
13/04/2017,VIX Index,15.96
12/04/2017,VIX Index,15.77
11/04/2017,VIX Index,15.07
10/04/2017,VIX Index,14.05
07/04/2017,VIX Index,12.87
06/04/2017,VIX Index,12.39
05/04/2017,VIX Index,12.89
04/04/2017,VIX Index,11.79
03/04/2017,VIX Index,12.38
31/03/2017,VIX Index,12.37
30/03/2017,VIX Index,11.54
29/03/2017,VIX Index,11.42
28/03/2017,VIX Index,11.53
27/03/2017,VIX Index,12.5
24/03/2017,VIX Index,12.96
23/03/2017,VIX Index,13.12
22/03/2017,VIX Index,12.81
21/03/2017,VIX Index,12.47
20/03/2017,VIX Index,11.34
17/03/2017,VIX Index,11.28
16/03/2017,VIX Index,11.21
15/03/2017,VIX Index,11.63
14/03/2017,VIX Index,12.3
13/03/2017,VIX Index,11.35
10/03/2017,VIX Index,11.66
09/03/2017,VIX Index,12.3
08/03/2017,VIX Index,11.86
07/03/2017,VIX Index,11.45
06/03/2017,VIX Index,11.24
03/03/2017,VIX Index,10.96
02/03/2017,VIX Index,11.81
